valid,activeDuration,urlLen,is@,isredirect,haveDash,domainLen,nosOfSubdomain,label
0,0,20,0,0,1,20,2,1
1,7305,42,0,0,0,12,2,0
0,0,155,0,0,0,14,1,1
0,0,35,0,0,0,18,3,0
1,730,79,0,0,1,14,1,1
1,1096,21,0,0,0,17,1,1
1,12053,40,0,0,0,19,2,0
0,0,50,0,0,0,20,3,0
0,0,24,0,0,0,15,3,0
1,6210,27,0,0,0,13,2,0
0,0,36,0,0,0,11,2,0
0,0,54,0,0,0,13,1,1
1,9133,27,0,0,0,14,2,0
1,3651,101,0,0,0,27,3,1
1,12783,40,0,0,0,12,2,0
0,0,27,0,0,0,20,3,0
1,10591,43,0,0,0,32,2,0
1,9133,27,0,0,0,14,2,0
1,9496,31,0,0,0,20,2,0
1,6940,19,0,0,0,13,2,0
1,9496,40,0,0,0,24,2,0
1,1827,44,0,0,0,28,3,1
1,9133,27,0,0,0,13,2,0
1,5479,55,0,1,0,15,1,1
1,9133,26,0,0,0,14,2,0
1,9133,27,0,0,0,14,2,0
0,0,95,0,0,1,39,5,1
1,1095,283,0,0,1,75,7,1
1,7671,36,0,0,0,22,2,0
1,3653,54,0,0,0,25,2,1
1,1827,173,0,0,0,22,2,1
1,6939,343,0,0,1,44,2,1
0,0,27,0,0,0,12,2,0
1,3653,27,0,0,0,26,3,1
1,9495,22,0,0,0,14,2,0
0,0,153,0,0,1,119,10,1
0,0,74,0,0,0,15,3,1
1,5113,104,0,0,0,15,2,1
0,0,83,0,0,0,28,3,1
1,7305,34,0,0,0,14,2,0
0,0,43,0,0,0,20,3,0
1,8035,28,0,0,0,22,2,0
1,4017,97,0,0,0,13,2,1
1,11322,39,0,0,0,16,2,1
1,9133,27,0,0,0,14,2,0
1,366,51,0,0,0,22,1,1
0,0,91,0,0,0,17,2,1
0,0,103,0,0,0,33,6,1
0,0,178,0,0,1,170,11,1
0,0,165,0,0,1,133,7,1
1,6574,61,0,0,0,25,3,1
0,0,153,0,0,0,19,1,1
0,0,28,0,0,0,23,1,1
1,8035,27,0,0,0,16,2,0
0,0,44,0,0,0,8,2,1
1,5478,61,0,0,0,18,3,1
1,2192,79,0,0,0,13,1,1
0,0,84,0,0,0,15,3,1
1,10228,36,0,0,0,21,3,0
1,7305,35,0,0,0,34,2,1
1,10591,26,0,0,0,16,2,0
1,5844,99,0,0,0,20,2,1
0,0,145,0,0,1,111,10,1
1,6210,54,0,0,0,20,2,0
0,0,35,0,0,0,16,1,1
1,8035,46,0,0,0,17,2,0
1,366,32,0,0,0,15,2,1
1,6940,38,0,0,0,15,2,0
1,9861,64,0,0,0,21,2,0
1,5844,85,0,0,0,12,1,0
1,3653,76,0,0,0,25,2,1
1,3653,121,0,0,0,12,2,1
1,7304,72,0,0,0,14,2,1
1,9133,26,0,0,0,14,2,0
1,10959,42,0,0,0,17,2,0
1,8035,46,0,0,0,17,2,0
0,0,170,0,0,0,26,2,1
1,4017,33,0,0,0,13,1,1
1,366,43,0,0,0,23,2,1
1,3288,71,0,0,1,70,6,1
0,0,76,0,0,0,27,1,1
1,6939,369,0,0,1,44,2,1
0,0,107,0,0,0,14,1,1
1,9862,19,0,0,0,11,1,1
0,0,76,0,0,0,27,1,1
1,731,94,0,0,0,15,2,1
1,7305,54,0,0,0,15,2,0
0,0,44,0,0,0,16,2,0
1,7671,18,0,0,0,11,1,0
0,0,47,0,0,0,15,2,0
0,0,60,0,0,0,18,2,1
0,0,50,0,0,0,23,2,1
0,0,113,0,0,0,11,1,1
1,4749,18,0,0,0,17,2,1
1,7305,38,0,0,0,17,2,0
0,0,356,0,0,1,201,12,1
0,0,63,0,0,0,28,3,1
0,0,30,0,0,0,23,1,1
1,366,92,0,0,0,12,1,1
1,6575,51,0,0,0,18,2,0
0,0,123,0,0,1,31,2,1
1,11322,34,0,0,0,17,2,0
1,10226,31,0,0,0,10,2,0
1,4017,33,0,0,0,13,1,1
1,12419,31,0,0,0,12,2,0
1,6940,48,0,0,1,23,2,0
0,0,41,0,0,0,17,3,0
1,8035,29,0,0,0,18,2,0
1,6574,125,0,0,0,19,2,1
0,0,44,0,0,0,19,2,1
1,9132,21,0,0,0,15,1,0
0,0,65,0,0,0,17,3,0
1,12419,51,0,0,0,11,2,0
0,0,64,0,0,0,16,3,1
0,0,57,0,0,1,14,2,1
1,8400,128,0,0,0,17,2,0
0,0,49,0,0,0,26,2,1
1,5113,19,0,0,0,18,2,1
0,0,52,0,0,0,18,3,0
0,0,73,0,0,0,20,2,1
1,1460,19,0,0,0,9,1,0
0,0,35,0,0,0,18,2,0
1,5844,34,0,0,0,18,2,1
1,6209,117,0,0,0,15,2,1
0,0,98,0,0,0,22,1,1
1,9861,65,0,0,0,12,2,0
0,0,71,0,0,0,19,1,1
1,8400,51,0,0,0,20,2,0
1,6939,369,0,0,1,44,2,1
1,10593,43,0,0,0,16,2,0
1,3653,235,0,0,1,218,13,1
0,0,49,0,0,0,14,1,1
1,6210,27,0,0,0,21,2,0
0,0,27,0,0,0,15,3,0
0,0,60,0,0,0,13,2,0
1,8035,43,0,0,0,16,2,0
1,12420,27,0,0,0,19,2,0
1,7670,41,0,0,0,16,2,0
1,1827,89,0,0,0,16,2,1
0,0,52,0,0,0,19,1,1
1,10228,19,0,0,0,14,2,0
1,9133,27,0,0,0,14,2,0
1,9133,27,0,0,0,14,2,0
0,0,27,0,0,0,26,3,1
1,4383,63,0,0,0,15,2,1
1,7671,28,0,0,0,15,2,0
1,6940,23,0,0,0,17,2,0
0,0,91,0,0,1,55,1,1
1,9133,27,0,0,0,14,2,0
1,6939,361,0,0,1,44,2,1
1,3652,12,0,0,0,6,1,1
0,0,14,0,0,0,8,1,1
1,6574,230,0,0,0,17,2,1
1,8035,33,0,0,0,23,2,0
1,2922,129,0,0,0,21,1,1
1,6939,343,0,0,1,44,2,1
1,5844,105,0,0,0,14,2,1
1,9133,27,0,0,0,14,2,0
1,3653,103,0,0,0,14,2,1
1,3288,59,1,0,0,16,1,1
0,0,35,0,0,0,34,3,1
1,4749,80,0,0,0,21,2,1
1,8765,27,0,0,0,13,2,0
0,0,26,0,0,0,20,3,0
1,2557,46,0,0,0,21,2,0
1,9133,27,0,0,0,14,2,0
0,0,43,0,0,0,25,2,1
1,9133,27,0,0,0,14,2,0
1,5114,44,0,0,0,14,1,1
0,0,171,0,0,1,137,7,1
0,0,39,0,0,0,7,1,1
0,0,43,0,0,0,22,2,1
1,7305,35,0,0,0,34,2,1
1,6575,35,0,0,0,15,3,1
1,9860,43,0,0,1,25,2,0
1,4018,24,0,0,0,23,3,1
1,9130,18,0,0,0,7,1,0
1,7305,33,0,0,0,22,2,0
1,9861,25,0,0,0,16,2,0
1,9496,34,0,0,0,20,2,0
0,0,101,0,0,0,11,1,1
1,6574,14,0,0,1,13,2,1
0,0,47,0,0,1,29,2,1
1,9133,27,0,0,0,14,2,0
0,0,43,0,0,1,19,3,1
1,9862,47,0,0,0,20,2,1
1,7373,29,0,0,0,20,2,0
1,4017,17,0,0,0,16,2,1
1,8400,34,0,0,0,24,2,0
0,0,28,0,0,0,18,3,0
0,0,22,0,0,1,21,2,1
1,8402,39,0,0,0,17,3,0
1,366,310,0,0,0,209,12,1
0,0,136,0,0,1,30,4,1
0,0,48,0,0,0,24,3,1
0,0,49,0,0,0,8,1,1
1,9132,106,0,0,0,13,2,1
1,3653,56,0,0,0,18,1,1
0,0,159,0,0,0,13,1,1
1,3653,73,0,0,0,41,5,1
1,9385,19,0,0,0,12,2,0
0,0,32,0,0,1,19,3,1
0,0,29,0,0,0,14,3,0
1,6940,33,0,0,0,21,2,1
0,0,54,0,0,0,19,3,1
1,6209,30,0,0,0,21,2,0
0,0,67,0,0,1,50,5,1
1,8036,35,0,0,0,16,2,0
1,6574,20,0,0,0,8,1,0
0,0,33,0,0,0,11,1,1
0,0,55,0,0,0,30,2,1
0,0,152,0,0,1,33,3,1
0,0,142,0,0,0,108,14,1
0,0,27,0,0,0,15,3,1
1,1827,106,0,0,0,11,1,1
1,4748,21,0,0,0,21,2,1
0,0,28,0,0,0,22,2,0
0,0,32,0,0,0,22,4,0
0,0,94,0,0,0,14,2,1
1,8765,63,0,0,0,16,2,0
1,6939,369,0,0,1,44,2,1
1,4383,26,0,0,0,19,1,1
1,8767,44,0,0,0,17,2,0
1,8766,31,0,0,0,16,2,0
0,0,47,0,0,0,7,1,1
0,0,180,0,0,1,78,7,1
0,0,60,0,0,0,16,2,0
0,0,44,0,0,0,24,2,1
1,4018,44,0,0,0,13,1,1
0,0,90,0,0,1,36,6,1
1,8400,35,0,0,0,16,2,0
1,4760,33,0,0,0,12,1,1
0,0,40,0,0,0,16,3,0
1,9133,26,0,0,0,14,2,0
0,0,47,0,0,0,13,1,1
1,6939,337,0,0,1,44,2,1
0,0,34,0,0,0,25,2,0
0,0,67,0,0,0,27,1,1
0,0,103,0,0,0,30,5,1
1,9133,27,0,0,0,14,2,0
0,0,32,0,0,0,12,2,1
1,731,68,0,0,0,27,3,1
0,0,34,0,0,0,15,1,1
1,10226,30,0,0,0,10,2,0
0,0,42,0,0,0,13,2,0
0,0,41,0,0,0,22,2,1
1,5479,52,0,0,0,26,2,1
1,1096,45,0,0,0,18,1,1
1,4017,33,0,0,0,13,1,1
1,8035,44,0,0,0,17,2,0
1,3287,53,0,0,0,16,1,1
1,6575,39,0,0,1,12,1,1
1,4383,27,0,0,0,27,2,1
0,0,24,0,0,0,15,2,0
1,6939,343,0,0,1,44,2,1
0,0,100,0,0,0,13,2,1
1,731,78,0,0,0,8,1,1
1,1461,42,0,0,0,29,2,0
1,4018,64,0,0,0,24,2,1
0,0,42,0,0,0,24,4,0
1,3288,85,0,0,0,13,2,1
0,0,156,0,0,0,16,2,1
0,0,30,0,0,0,17,3,0
1,8712,38,0,0,0,10,2,0
0,0,52,0,0,0,15,3,0
0,0,42,0,0,0,15,2,0
0,0,32,0,0,0,16,4,0
0,0,116,0,0,0,10,2,1
1,7305,51,0,0,0,14,2,0
0,0,62,0,0,0,24,2,1
0,0,84,0,0,1,19,1,1
0,0,36,0,0,0,10,1,1
0,0,61,0,0,0,48,7,1
0,0,38,0,0,1,16,1,1
0,0,17,0,0,0,10,2,0
1,8400,26,0,0,1,16,2,0
1,1461,13,0,0,0,9,1,1
1,8401,80,0,0,0,15,2,1
1,9701,31,0,0,0,20,2,0
1,6210,27,0,0,0,15,1,1
1,8034,42,0,0,0,13,1,0
0,0,23,0,0,0,22,3,1
1,8626,18,0,0,0,10,2,0
1,6210,37,0,0,0,14,1,1
0,0,156,0,0,0,16,2,1
1,7670,29,0,0,1,16,2,0
0,0,22,0,0,0,15,2,0
0,0,234,0,0,1,200,14,1
1,9495,50,0,0,0,20,1,0
1,4748,31,0,0,1,31,2,1
1,366,83,0,0,0,21,1,1
0,0,195,0,0,0,16,3,1
1,7671,32,0,0,0,15,2,0
0,0,16,0,0,1,14,2,1
1,1461,14,0,0,0,11,1,1
0,0,15,0,0,0,10,1,0
1,10959,53,0,0,0,18,2,0
0,0,165,0,0,0,10,1,1
0,0,33,0,0,0,16,2,0
1,9495,29,0,0,0,15,2,0
0,0,71,0,0,0,17,1,1
0,0,35,0,0,0,27,2,0
1,5114,46,0,0,0,33,2,1
0,0,53,0,0,0,23,3,0
0,0,180,0,0,0,29,2,1
1,7305,53,0,0,0,24,1,1
0,0,114,0,0,0,11,1,1
1,8036,32,0,0,0,12,2,0
1,366,90,0,0,0,13,2,1
0,0,237,0,0,0,23,2,1
1,7305,38,0,0,0,12,2,0
0,0,50,0,0,1,24,2,1
1,9133,27,0,0,0,14,2,0
1,8400,33,0,0,0,21,2,0
1,9133,27,0,0,0,14,2,0
0,0,46,0,1,0,14,2,1
0,0,28,0,0,0,18,3,0
1,731,32,0,0,0,31,2,1
1,9133,27,0,0,0,14,2,0
1,9133,27,0,0,0,14,2,0
1,8765,34,0,0,1,15,2,0
0,0,66,0,0,1,40,5,1
1,3653,48,0,0,0,22,2,1
0,0,72,0,0,0,18,2,1
1,730,30,0,0,0,14,1,1
1,4017,33,0,0,0,13,1,1
0,0,104,0,0,1,26,5,1
0,0,78,0,0,0,21,2,1
0,0,41,0,0,1,20,2,1
1,6574,49,0,0,0,16,1,1
0,0,25,0,0,1,13,1,1
1,6574,52,0,0,0,21,2,0
1,7670,119,0,0,0,21,3,1
0,0,125,0,0,1,48,4,1
1,6939,369,0,0,1,44,2,1
1,9863,53,0,0,0,24,2,0
0,0,171,0,0,0,12,1,1
1,4383,63,0,0,0,17,1,1
1,10038,25,0,0,0,17,2,0
1,9495,34,0,0,0,11,2,0
0,0,58,0,0,0,14,3,1
0,0,36,0,0,0,24,2,0
0,0,82,0,0,1,39,5,1
0,0,33,0,0,0,20,2,1
1,9861,43,0,0,0,11,2,0
0,0,56,0,0,0,16,3,0
0,0,44,0,0,0,17,2,1
0,0,41,0,0,0,11,1,1
1,9496,28,0,0,0,17,2,0
0,0,171,0,0,1,137,7,1
1,4018,44,0,0,1,15,1,1
1,3288,51,0,0,0,14,2,1
0,0,38,0,0,0,17,2,1
1,8035,65,0,0,0,9,2,1
1,5114,191,0,0,0,12,1,1
1,8400,19,0,0,0,14,2,0
0,0,58,0,0,0,15,1,1
0,0,20,0,0,0,19,3,1
1,4749,81,0,0,0,15,2,1
0,0,102,0,0,0,20,2,1
1,9863,31,0,0,0,11,1,0
1,365,87,0,0,0,14,2,1
1,8034,32,0,0,0,15,2,0
0,0,67,0,0,0,16,1,1
1,8036,34,0,0,0,16,2,0
1,3652,12,0,0,0,6,1,1
0,0,58,0,0,1,24,2,1
0,0,52,0,0,0,18,2,1
1,4748,129,0,0,0,14,2,1
0,0,39,0,0,0,21,2,1
0,0,23,0,0,0,23,2,1
1,9133,27,0,0,0,14,2,0
0,0,75,0,0,0,13,1,1
1,11689,23,0,0,0,11,2,0
0,0,223,0,0,0,28,2,1
0,0,24,0,0,0,13,3,0
1,4017,33,0,0,0,13,1,1
0,0,67,0,0,1,32,2,1
1,6940,32,0,0,0,13,2,0
1,9496,45,0,0,0,18,2,0
1,6939,369,0,0,1,44,2,1
0,0,73,0,0,0,26,2,1
1,7671,46,0,0,0,25,2,0
0,0,121,0,0,0,20,1,1
1,10956,38,0,0,0,12,1,0
1,10228,33,0,0,0,16,2,0
0,0,40,0,0,0,14,2,0
0,0,90,0,0,1,36,6,1
1,2922,156,0,0,0,17,1,1
0,0,120,0,0,0,11,2,1
1,3288,85,0,0,0,9,1,1
1,9133,27,0,0,0,14,2,0
0,0,48,0,0,0,20,3,0
1,7670,33,0,0,0,14,2,0
0,0,27,0,0,0,11,2,0
1,366,93,0,0,0,15,2,1
1,730,245,0,0,0,15,1,1
1,6939,30,0,0,0,18,2,0
1,8034,32,0,0,0,13,1,0
0,0,24,0,0,0,17,2,1
1,3653,189,0,0,0,14,1,1
0,0,210,0,0,0,18,1,1
1,10592,50,0,0,0,17,2,0
1,3653,53,0,0,0,14,1,1
0,0,17,0,0,0,16,2,1
0,0,223,0,0,0,23,1,1
0,0,42,0,0,0,14,3,0
1,8034,60,0,0,1,20,2,0
0,0,45,0,0,1,13,2,0
1,2192,208,0,0,0,15,1,1
1,9861,31,0,0,0,15,2,0
0,0,84,0,0,1,39,5,1
1,9129,23,0,0,0,14,2,0
0,0,90,0,0,1,36,6,1
1,8400,29,0,0,0,16,1,0
0,0,43,0,0,0,14,1,1
0,0,32,0,0,0,20,3,0
1,6575,45,0,0,0,28,2,0
1,4018,17,0,0,0,9,1,1
1,366,65,0,0,0,24,2,1
1,731,100,0,0,0,17,3,1
1,8035,27,0,0,0,17,2,0
0,0,33,0,0,0,17,1,1
1,731,118,0,0,0,11,1,1
1,4018,26,0,0,0,25,2,1
1,8401,40,0,0,0,14,2,0
1,366,102,0,0,0,26,1,1
0,0,22,0,0,0,14,2,0
0,0,198,0,0,1,185,12,1
0,0,141,0,0,0,16,1,1
0,0,45,0,0,0,19,2,0
0,0,104,0,0,0,32,2,1
0,0,62,0,0,0,29,2,1
1,731,51,0,0,0,26,2,0
1,4383,107,0,0,1,31,3,1
0,0,31,0,0,0,20,3,0
1,2556,27,0,0,0,20,1,1
1,10226,20,0,0,0,10,2,0
1,8035,42,0,0,0,17,2,0
1,9862,15,0,0,0,10,2,0
0,0,76,0,0,0,27,1,1
0,0,34,0,0,0,16,2,1
1,2192,30,0,0,0,19,1,1
1,9495,34,0,0,0,15,2,0
1,366,89,0,0,0,15,2,1
1,8766,41,0,0,0,19,3,1
0,0,30,0,0,0,17,2,0
1,3653,43,0,0,0,31,2,1
1,9133,27,0,0,0,14,2,0
1,5844,18,0,0,0,17,2,1
0,0,67,0,0,0,17,2,0
0,0,69,0,0,1,50,2,0
0,0,180,0,0,0,139,12,1
1,9496,27,0,0,0,18,2,0
1,13148,108,0,0,0,23,3,0
1,12419,53,0,0,0,11,2,0
1,9133,27,0,0,0,14,2,0
0,0,147,0,0,1,113,10,1
1,6939,343,0,0,1,44,2,1
1,10591,22,0,0,0,11,2,0
1,731,55,0,0,0,21,2,1
0,0,55,0,0,1,23,1,1
0,0,25,0,0,0,24,2,1
1,4749,22,0,0,0,21,2,1
0,0,40,0,0,0,16,3,0
1,8400,39,0,0,0,20,2,0
0,0,51,0,0,0,20,1,1
0,0,67,0,0,0,33,5,1
1,8401,31,0,0,0,19,2,0
0,0,25,0,0,0,18,3,0
1,4017,33,0,0,0,13,1,1
0,0,51,0,0,0,18,3,0
0,0,71,0,0,0,29,2,1
1,4018,78,0,0,1,31,2,1
1,8035,42,0,0,0,16,2,0
0,0,24,0,0,0,14,3,0
0,0,80,1,0,0,28,3,1
1,8400,31,0,0,0,20,2,0
1,1827,67,0,0,0,18,2,1
0,0,82,0,0,1,39,5,1
1,9133,27,0,0,0,14,2,0
0,0,17,0,0,0,9,2,0
1,2557,34,0,0,0,17,1,1
1,4383,55,0,0,0,18,3,1
1,9133,27,0,0,0,14,2,0
1,10959,33,0,0,0,21,2,0
0,0,42,0,0,1,30,2,0
0,0,69,0,0,0,20,1,1
1,4017,33,0,0,0,13,1,1
0,0,21,0,0,0,15,3,0
0,0,47,0,0,0,18,1,1
1,10228,38,0,0,0,16,2,0
1,7670,35,0,0,0,24,2,0
1,8035,46,0,0,0,19,2,0
0,0,188,0,0,0,13,2,1
0,0,223,0,0,1,16,1,1
1,8035,29,0,0,0,16,2,0
